source,target
2226,56028
22402,42126
15355,41464
25691,25659
2884,1316
71,197678
25691,25660
3537,42659
2177,5831
86,19838
2725,200076
4115,320197
72,839
1315,348613
3466,173414
2226,30181
6557,348543
2071,4970
2421,23690
1315,196776
18351,348610
1892,2982
25691,25651
19124,24472
76,196595
657,2650
1315,348618
92,348620
3728,348659
25691,25685
1302,3222
3483,217660
4643,197038
2928,196657
2504,23819
71,32845
71,20916
2981,196595
1892,23698
1671,196602
2071,348622
4115,348587
92,197513
1892,5095
5199,199197
1892,172943
36823,2480
2421,37648
92,348548
72,348543
73,3580
3222,19749
2725,19749
2861,196607
2109,9150
1888,21491
3258,196657
2925,196657
25691,197651
826,17903
19124,196595
1892,172949
71,2888
1317,1315
1315,20912
2421,348543
9798,19749
3728,25560
3339,19749
71,196743
22399,197143
1892,348609
25691,25648
25691,25658
2861,199015
2972,196657
1317,196602
2861,231229
7380,199197
3728,1714
2974,1702
71,19749
36823,196610
2725,348625
92,197019
92,196595
36823,32840
20719,196595
5203,221006
1892,348608
73,196607
2504,29085
2459,197100
10067,348543
4165,200827
3492,196731
2442,23743
25691,25680
4643,1716
79,196634
1888,2444
18105,348557
92,2370
92,1671
2226,173112
1315,23698
73,3479
1315,2902
15355,37094
851,196612
851,547
6584,348557
86,197100
4134,19749
3014,24603
25691,25641
5203,24295
3247,347427
19862,5858
2444,7644
2925,199197
4986,347430
1315,196609
92,4257
36823,918
2906,196595
2725,196602
826,348557
2421,12157
4999,31140
92,197556
3339,24992
10631,33244
826,2612
92,197537
2459,23268
86,2475
5203,24292
5203,24286
3492,196595
2421,20521
2925,24463
851,196595
3014,348543
2928,24473
71,27245
10065,348557
4120,173680
2425,27188
9508,1229
2928,24476
92,40396
4115,199197
2459,348570
5203,24298
72,1059
2972,221006
22402,199197
5203,11245
2660,348951
83,7644
3340,5231
9798,20622
73,196611
1315,72
2859,348543
2574,2976
1892,14148
71,2229
25691,25688
1315,27246
3340,196602
92,2228
2444,18526
2421,23692
86,37129
3207,348557
4643,173785
2925,348543
2918,19749
1316,72
4134,348543
9798,214751
2910,19749
92,8182
2174,196595
2725,348539
6584,5049
9798,197776
2222,22285
36823,17493
71,32828
2421,3307
19862,5228
2077,71
92,197022
15355,26410
19862,93
92,19866
1888,196595
2421,71
93,3842
2370,348543
2910,348543
2991,348644
2725,196657
2725,348628
93,5228
3339,25002
9798,32304
1888,21493
71,348557
2746,348556
1892,172953
831,197664
2444,83
92,7505
92,19870
15355,277606
5710,196658
2921,26118
851,197255
3021,5085
2910,199197
92,196643
92,196645
821,199197
2928,25136
25691,25674
844,348543
2884,723
2859,24363
2925,36617
92,197017
3462,348952
86,19840
3728,19749
25691,25673
2981,348554
2699,19749
179321,71
92,197515
851,4750
2177,19749
18105,28187
86,17415
6584,196607
2660,196602
36823,1399
821,197255
36823,17903
22402,42117
2459,348579
657,199197
79,2902
2921,196595
92,19873
9798,196602
4551,196595
4207,348543
2928,19749
25691,25646
17493,196638
20719,41365
2109,196595
1888,348543
6584,296702
5203,19749
4207,19749
2504,19749
5199,204900
4999,348953
71,12601
10631,196712
79,39785
2226,37971
36823,3473
2660,196657
23261,196595
25653,25654
19124,348586
2473,23775
1317,1059
4125,26115
1302,348553
2411,196602
2444,6537
9508,32117
76,199197
36823,271644
2126,15700
9910,19749
3021,27497
2126,173061
19124,4550
19124,348539
73,196612
1888,239771
3207,348543
2889,348543
2459,26009
72,359
9798,32303
92,23358
36823,1315
2981,348595
5747,196595
76,196602
83,94
25691,46856
9910,32414
2972,24536
2906,348505
71,3774
1888,1305
18351,221006
2574,3
93,196595
3462,348947
851,359
1316,1977
4120,204899
2981,24561
1315,1977
4551,19749
2354,23577
3483,197574
3503,348630
2421,6377
6557,216080
15355,196602
23261,348543
6584,19749
1888,2972
2906,348543
17493,220826
92,196655
10186,348557
4125,196595
20719,219372
2071,21669
2981,348557
36822,10846
5710,348557
826,2459
22399,348602
2921,173300
2859,260350
18351,19749
86,93
2459,14918
2574,196658
2354,197574
2910,196657
1892,199197
2743,27928
2444,94
4120,348557
1892,196602
2574,196747
3207,238634
2921,173299
3258,348543
3488,197030
2421,200233
3021,14298
92,40386
2743,348642
2861,19749
92,2972
3488,19749
3247,199197
83,196602
5203,7932
2077,348942
2861,24366
2746,197030
92,348557
36822,20915
1892,24369
2177,5231
4125,348620
1315,27244
92,17668
2459,348572
4125,26116
92,67124
15355,199197
71,197359
844,3462
2660,90173
4986,348543
2918,197329
1892,196657
2981,24563
1892,2328
36823,2229
9442,196595
2859,196595
92,196649
92,40394
71,21342
4165,348557
2928,220826
73,72
92,2864
23261,196657
92,11485
92,197028
2972,43390
3488,25218
2981,200609
2109,199197
3728,204570
18105,221006
3537,173472
36823,196608
79,10040
4115,348601
3222,196595
83,18526
2861,348942
73,196602
22399,196595
93,19840
2459,918
5710,348543
92,19871
3260,348543
1315,2477
1892,2699
3340,199197
2174,196712
1316,196609
